Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,0.03318642984842429,0.005247643170212491,-2.965470437165635
1.079775162327709,0.03480329478503332,0.002700608472881749,-3.182134021416431
1.165914401179831,0.03341577999119064,0.004274809850352542,-3.446829985321934
1.258925411794166,0.03340578196513068,0.004105864615004052,-3.689801071474101
1.359356390878524,0.03363361561820094,0.002800863209352823,-3.992819807730019
1.467799267622071,0.03309883423315138,0.00136338845458866,-4.298730678543311
1.584893192461114,0.03314737661914335,0.0005036912347600224,-4.636879640610363
1.711328304161781,0.0315888648117286,0.002139853631727097,-4.998318002352789
1.847849797422291,0.03092790923695016,0.001104858132398585,-5.396027519951907
1.995262314968883,0.03010373154702784,0.001760868635596782,-5.805220680275127
2.154434690031882,0.03098358103385779,-0.000383776029069987,-6.253750652852943
2.326305067153629,0.02840943754407013,0.003630440747986347,-6.741572652648586
2.511886431509577,0.02851132993193731,0.003629131719073482,-7.272787057581979
2.712272579332029,0.02838335982734648,0.00536817416440389,-7.858757628244348
2.928644564625237,0.028049606513303,0.008410866699246506,-8.462054045539873
3.16227766016838,0.02461666923576509,0.0123705530990383,-9.139634387400221
3.414548873833601,0.0245837253539248,0.01733190138383141,-9.864844546933497
3.686945064519574,0.02196373247956101,0.02635864911135766,-10.62516530983388
3.98107170553497,0.02122663160112338,0.03293450730437965,-11.48088858832671
4.298662347082281,0.0194386003958644,0.04334076892110636,-12.39955427661608
4.641588833612772,0.01827218219491374,0.05361912239348998,-13.41820118969929
5.011872336272726,0.01340270896531323,0.07303850670120784,-14.53337484996436
5.411695265464638,0.01118944149023321,0.09224440712036959,-15.73068144297041
5.843414133735175,0.006925670457509372,0.1151875457849057,-17.05055327272737
6.309573444801929,0.002410007414031158,0.1419313313683144,-18.50621725698286
6.812920690579609,-0.002503951470523808,0.1722287615608717,-20.12583045493197
7.356422544596422,-0.008175287335952712,0.2111103098150447,-21.89961035961424
7.943282347242806,-0.0163003111691957,0.2541544436557082,-23.89610748492403
8.576958985908945,-0.02416942651857454,0.3029507954132365,-26.1221845908717
9.261187281287937,-0.03302156217345713,0.3562706326818418,-28.62513371986324
10,-0.04593676124979959,0.4155282119604919,-31.46034704225244
10.79775162327709,-0.05888912825015491,0.4704530357488085,-34.67979236858939
11.65914401179832,-0.07308198927118438,0.5198813783710009,-38.35176506365757
12.58925411794166,-0.09046153532475831,0.5594488810046155,-42.56967590891227
13.59356390878525,-0.1090300618518969,0.5682515013096832,-47.34922553829588
14.67799267622071,-0.1303173052234175,0.5339774124031819,-52.82127693479429
15.84893192461114,-0.150160663632793,0.4286913309539309,-58.93985812898816
17.11328304161781,-0.1703325718797855,0.2289945162650368,-65.67399512184635
18.47849797422293,-0.1854567478080067,-0.09428984941928784,-72.91475545468208
19.95262314968879,-0.195209983641067,-0.5589181520420348,-80.44541004224061
21.54434690031882,-0.1942473076453641,-1.17641510107256,-88.04024189305458
23.26305067153626,-0.1887564357851969,-1.936354957149526,-95.49389410673274
25.11886431509582,-0.1772164339988014,-2.833645329756675,-102.6039751748622
27.12272579332027,-0.1608790903363663,-3.840964254374217,-109.1805781021675
29.28644564625237,-0.1418638863397802,-4.926379558899299,-115.2360760622755
31.62277660168379,-0.123133892948572,-6.080546901352392,-120.6716946013289
