Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.04,0.02243140974613453,0.03587299498217381,-0.304567537126502
1.122455083884065,0.02451171274719009,0.03572967252608882,-0.3235388611092702
1.211447514747292,0.02184983354517937,0.04173039319377447,-0.3631054633000588
1.30749559787194,0.02280059845928573,0.04509205637584515,-0.3734142703966512
1.411158731718648,0.02325095094011174,0.05017145440408349,-0.4050617440661632
1.523040665947103,0.02353560760997502,0.05627013227679208,-0.449689156999284
1.643793017744709,0.0231657539037277,0.06265672349667026,-0.4909005329295137
1.774119066942963,0.02326390432903835,0.06826212846853644,-0.5173303542108201
1.914777852024792,0.02432200790001293,0.07797784684280899,-0.5598724660809324
2.066588590878691,0.0214431583570809,0.08891270876865909,-0.5994911317531404
2.230435452046724,0.02261711465103853,0.1001513877960725,-0.6532634774166866
2.407272704254907,0.02238286873377322,0.1142300442086335,-0.717339096819714
2.59813027421756,0.02311720999943093,0.1306877749626626,-0.7729462459589058
2.804119745085193,0.0210982968603566,0.1500329548023907,-0.8407815593725729
3.026440830471697,0.02081642854397943,0.1740036711487263,-0.9174960695169432
3.266388361766604,0.02041288682787588,0.2003024384208213,-1.010477430714815
3.525359829427566,0.01880551207931622,0.2326864966997423,-1.097392916495807
3.804863522174654,0.02059606770167678,0.2679451978334504,-1.186415167226745
4.106527311490358,0.01915261193548292,0.3123617836159639,-1.314493951419476
4.432108132587619,0.01864830888093117,0.3611440569208114,-1.442562086714673
4.783502217064311,0.01659468524142311,0.4223287994892905,-1.584436895300186
5.162756136840898,0.01575140930349508,0.4927130574344551,-1.743993214933994
5.572078723702618,0.01441190283620023,0.5764903431829836,-1.936302562278087
6.013853933867535,0.01378341765198177,0.6737026423921466,-2.16646434418432
6.490654732505578,0.01139463872103986,0.7932299840149797,-2.420018484151605
7.005258079074105,0.01139256273007136,0.9330242392272238,-2.733285896912335
7.560661100746779,0.008732380191762534,1.101510355936837,-3.104567015804392
8.160098548132419,0.005422509805843383,1.302929433596074,-3.551883007108614
8.807061634948282,0.001910276096483864,1.543068002752727,-4.088373973223256
9.505318371373102,-0.004038943150082237,1.839685216734442,-4.777316170993672
10.25893550950416,-0.01099595630959606,2.204384555810135,-5.663148621082684
11.07230222873244,-0.01808728215914751,2.650417793228721,-6.828160635866325
11.9501556989823,-0.03148790239418752,3.215715106753972,-8.478894909507162
12.89760867070079,-0.05377310455592239,3.935164781070362,-10.88304303375335
13.92017925228396,-0.08953409915694521,4.847081363887366,-14.58781737419301
15.02382304836886,-0.1480963805079086,5.931701791738416,-20.19967568667295
16.21496784616944,-0.2399462976758863,7.047574695064721,-27.72649768125657
17.50055105187458,-0.3573239806362313,8.027216689795006,-36.04660562587331
18.88806009514353,-0.4911942192786863,8.835615628509849,-44.76732014127882
20.38557603702074,-0.6371570421581694,9.475607814048455,-54.47213981282022
22.00182063524919,-0.7903189125647894,9.91087265767821,-66.71356074128619
23.74620714109689,-0.8834399727472777,9.831783346891674,-86.35316337485362
25.62889512354649,-0.2804543314867352,3.501018601222762,-137.4442288290266
27.66084964015027,-0.1744097953723523,1.093526245653982,-146.4117814770988
29.85390509917249,-0.114908369024755,-0.997419177226422,-152.2281033853746
32.22083418496021,-0.07925521196668144,-2.878771946012247,-156.346659824093
34.77542224797507,-0.05499457712193929,-4.650141545765814,-159.3908479112898
37.53254759274486,-0.0386586782201701,-6.337116513966996,-161.7516759146274
40.5082681313434,-0.02665374379708003,-7.9646518044731,-163.5698292813298
43.71991490708203,-0.01988741690074185,-9.532162789734615,-165.0100588244712
47.18619303310857,-0.01526009582242186,-11.06123826064113,-166.2102832510924
50.92729063379585,-0.009984361983765523,-12.55549091502114,-167.1288885415522
54.96499642340906,-0.007978816103467472,-14.02965150866468,-167.8879771118155
59.32282660685106,-0.006218609991590329,-15.47365294709966,-168.578837744205
64.02616184156999,-0.006146114445150884,-16.8757694193949,-169.0390034311454
69.10239505832141,-0.006261990290806591,-18.2686979840628,-169.4708660984604
74.58109100170967,-0.008493828300161698,-19.65300120316812,-169.9043167340611
80.49415841970108,-0.01044789319770964,-21.01467316535501,-170.1481608748566
86.87603590496425,-0.01312508409297234,-22.35397379913607,-170.4149859680711
93.76389247040558,-0.01479683295015813,-23.69834322221095,-170.6499749303789
101.1978440270823,-0.01838149289766837,-25.0489337853151,-170.7054541428243
109.2211870252935,-0.02179542284647442,-26.37491162138801,-170.9032960149864
117.8806506196089,-0.02890397105894003,-27.73532056585809,-170.9938234038058
127.2266688264818,-0.03161496826791724,-29.06245324311331,-170.9160535897394
137.3136742595377,-0.03806096725344765,-30.41290953586073,-171.1265988405911
148.2004151532869,-0.04351351110140546,-31.73901588516925,-170.8032947392091
159.9502975216694,-0.05444749087278065,-33.01855185208285,-170.7251093228249
172.6317544441988,-0.06514993897475418,-34.27724852257831,-170.6937245862926
186.3186446304967,-0.07319458886049379,-35.66311194654858,-170.2645553949186
201.0906825845091,-0.08502241188246608,-37.1012764376153,-170.40802571021
